#TAG,NAME IN REPO (or git url),PURPOSE
,newsboat,"is a terminal RSS client."
A,lf-bin,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
A,bat-cat-git,"is a cat clone with wings."
A,picom-ibhagwan-git,"is for transparency and removing screen-tearing."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,ffmpeg,"can record and splice video and audio on the command line."
,clang,"C frontend for LLVM."
,ripgrep,"is a better grep."
,fd,"is a better find."
,lesspipe,"is a better less preprocessor."
,polkit-gnome,"is used for graphical gpg authentication."
,gnome-keyring,"is used to unlock certain secret codes."
,usbutils,"USB device utilities."
A,teams,"is ms bs for uni."
,octave,"is a nicer matlab."
,texlive-core,"is the main LaTex package."
,texlive-latexextra,"are a set of extra LaTex packages."
,tikz-cd,"is a Tex package for drawing commutative diagrams."
,obs-studio,"is a FOSS screen recording software."
A,rtl8822bu-dkms-git,"External wifi adapters module."
,cronie,"is the cronjob manager."
A,mconnect-git,"to autoconnect to smartphones through kde-connect libraries."
A,unimatrix-git,"is a cool looking terminal screensaver."
A,bash-pipes,"is yet another terminal screensaver."
,nyancat,"is a cool terminal screensaver."
A,stig,"a transmission-remote bittorrent client."
,chafa,"is a terminal image viewer."
,odt2txt,"is an Open Document to Plain Text converter."
A,networkmanager-dmenu-git,"is a dmenu network manager."
A,bottom-git,"is the system monitoring utility."
A,ncspot-git,"is a spotify cli client written in Rust."
A,xkcd-git,"is a XKCD comics fetcher:)."
,moreutils,"is for Vidir bulk renaming and other utilities."
,mlocate,"is a great tool to locate files in a filesystem."
A,soulseekqt,"is the Soulseek official client."
A,nordvpn-bin,"is the the official NordVpn client."
A,fast,"is a FAST cli speedtest."
,redshift,"is a screen temperature program."
,rsync,"is a powerful copying tool for both remote and local files."
,tig,"is a text-mode interface for Git."
A,weechat-git,"is the IRC client."
A,weechat-edit-git,"is the matrix client for Weechat."
A,weechat-matrix-git,"is the matrix client for Weechat."
A,weechat-notify-send,"is the matrix client for Weechat."
A,weechat-vimode-git,"is the matrix client for Weechat."
,python-pywal,"is a wonderful wallpaper and coloscheme setter."
A,colorz,"is a coloscheme generator."
,urlscan,"is required for my newsboat config."
A,urlview,"is another url selecting utility required by mutt-wizard."
A,imgur.sh,"a cli imgur uploading utility."
A,telegram-userfonts,"is the official Telegram client."
,keepassxc,"is an amazing password manager."
A,dragon-drag-and-drop,"gtk<->terminal file transfers."
,w3m,"is a great console web browser."
,lynx,"is another great console web browser."
,ncdu,"is an ncurses disk usage analyser."
A,duf-bin,"is a Rust disk usage/free utility."
A,arch-silence-grub-theme-git,"is a clean Grub theme."
,gifsicle,"is a Gif utility."
A,shantz-xwinwrap-bzr,"is a xwinwrap fork useful for setting gifs as wallpapers.."
A,neofetch-git,"a ricing fetcher."
A,pfetch-git,"a lighter ricing fetcher."
,unbound,"is the DNS Resolver."
,qt5ct,"is needed to make qt5 apps look coherent to gtk ones."
,gtk-engine-murrine,"is needed to make gtk themes work correctly."
A,gtk-clearlooks-compact,"is also needed to avoid warnings in the Gtk theme."
A,gruvbox-dark-gtk,"is the Gtk general theme."
A,gruvbox-dark-icons-gtk,"is the Gtk icon theme."
A,copyq-git,"is the clipboard manager."
A,neovim-git,"a tidier vim with some useful features."
A,neovim-remote,"supports --remote for neovim."
A,pacnews-neovim-git,"is a simple script to manage .pacnew files."
A,python-pynvim,"is pynvim."
A,ntfs-3g-fuse,"allows accessing NTFS partitions."
,pulseaudio-bluetooth,"is the audio system(pulls in pulseaudio as well)."
A,pamixer-git,"is a command-line audio interface."
A,ncpamixer,"a pulseaudio terminal mixer."
A,cava-git,"is a standalone terminal music visualizer."
A,maim-git,"can take quick screenshots at your request."
,socat,"is a socket utility."
,xbanish,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,expac,"pacman database extraction utility."
,xcape,"gives the special escape/super mappings of AARGH."
A,xwallpaper-git,"is a lightweight wallpaper setter."
A,croc,"is a fast method for transferring files across devices using a relay server."
,xclip,"allows for copying and pasting from the command line."
A,xdotool-git,"provides window action utilities on the command line."
,xss-lock,"is used to set x11 sleep options."
A,apg,"is an automated password generator."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
A,zathura-git,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,zathura-djvu,"allows .djvu compatibility in zathura."
,pdfgrep,"enables searching for text (also regex) in pdfs."
,mediainfo,"shows audio and video information."
,tree,"is a console directory structure visualizer."
A,archivemount,"is a temporary archive mounter."
,atool,"manages and gives information about archives."
,p7zip,"is a .7z cli archiver."
,fzf-git,"is a fuzzy finder tool."
,highlight,"can highlight code output."
A,task-spooler,"queues commands or files for download."
A,plymouth-git,"PLYMOUTH."
,xsel,"X selection utility."
,tlp,"battery utility."
,catdoc,"for vim documents viewing."
A,lingot,"is a simple music tuner."
,ccze,"is a cool log colorizer."
,intel-undervolt,"is an intel CPU undervolting tool."
A,simple-mtpfs-git,"enables the mounting of cell phones."
,xorg-xinit,"for STARTX."
,xorg-server,"for the Xserver."
,xorg-xev,"is used to find input codes."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xinput,"is needed to toggle touchpad and other Xorg-related input settings."
,xorg-xrandr,"command line utility for the X RandR extension."
,xorg-xmodmap,"allows AARGH's unique keyboard bindings."
,xorg-xset,"allows speeding up the X rate."
,hsetroot,"set root window background."
G,git@github.com:BachoSeven/dwmblocks.git,"serves as the modular status bar."
G,git@github.com:BachoSeven/dmenu.git,"is a general-purpose dynamic menu."
G,git@github.com:BachoSeven/st.git,"is the simple terminal emulator."
G,git@github.com:BachoSeven/dwm.git,"is the window manager."
G,git@github.com:BachoSeven/slock.git,"allows you to lock your computer and quickly unlock with your password."
G,git@github.com:BachoSeven/tabbed.git,"an application Tabber."
G,git@github.com:BachoSeven/aargh.git,"is the bootstrapping repo."
G,git@github.com:BachoSeven/wiki.git,"is the Wiki."
G,git@github.com:BachoSeven/aur.git,"is a collection of my personal AUR PKGBUILDs."
,asciidoc,"is needed to build documentation for xsv."
G,git://git.ucw.cz/xsv.git,"csv-like files swiss-army knife."
G,https://github.com/mitchweaver/subs.git,"is a better Youtube feed using dmenu."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
A,isync-config-patched,"patched version of mbsync for XDG dirs."
,kitty,"is an alternative terminal emulator."
A,bastet-xdg-git,"is the BAStard TETris game's xdg-compliant version."
,tty-solitaire,"is a great ncurses-based klondike solitaire game."
A,nudoku-git,"is a ncurses-based sudoku game."
A,bs,"is a fantastic ncurses Battleship game against the computer."
A,ccleste,"is a Celeste Classic C port."
A,typiskt,"a terminal touch typing tutor."
A,abook-configdir,"is an offline addressbook usable by neomutt."
